,speedup,error_MetaD,error_MetaD_SR
0,97.37095648313777,158538902.674473,
1,78.51000968609976,3784035.0450239363,
2,72.46217298523656,395204.509224159,
3,63.10514830463191,33644.21434932698,
4,53.27289920522233,3206.5764506498294,
5,45.42864950743177,602.5789063725097,
6,37.00430692939735,128.07889413950826,
7,24.847764921596664,18.44131745020416,
8,14.108916136005398,5.851974240022743,
9,7.092414942134112,,0.471961720960746
10,18.73512823528222,,2.133360295716514
11,47.98701362755224,,14.768241769044739
12,67.52103320311338,,73.10696680005623
13,82.42820338885451,,1086.1631694526432
14,87.18979044684535,,8980.630609753654
