,bias_deposition_rate,initial_position,speedup_MetaD,speedup_MetaD_SR
0,10000.0,10,11.991387773195065,133.00591262142078
1,5000.0,10,11.567805279864583,83.24092378181733
2,2000.0,10,9.991678541008408,21.95729172447137
3,1000.0,10,8.7413984788416,13.152099299432656
4,500.0,10,7.563555118827415,8.164946722060899
5,10000.0,20,12.627512645654557,49.27878848711484
6,5000.0,20,12.049826027464883,31.77487914950912
7,2000.0,20,10.435666604592086,17.213394243611614
8,1000.0,20,9.167604223559275,11.203764368791983
9,500.0,20,7.449688243392231,7.449688243392231
10,10000.0,30,13.402646466247864,39.895783582206434
11,5000.0,30,12.484215094432397,25.788950374284795
12,2000.0,30,10.99442536496063,14.59499797121544
13,1000.0,30,9.134113840795804,9.897770316191307
14,500.0,30,7.64313002027388,7.64313002027388
15,10000.0,Boltzmann,11.717097124853582,46.32159761164383
16,5000.0,Boltzmann,11.430384076719491,29.686334817213154
17,2000.0,Boltzmann,10.26902745270525,15.710667026531928
18,1000.0,Boltzmann,8.89987955045156,10.251662060105614
19,500.0,Boltzmann,7.495310777833586,7.495310777833586
